cryoem_fragment	cryoem_source	cryoem_start	cryoem_end	cryoem_identity	cryoem_length	cryoem_bases_trimmed	gtf_rRNA_id	gtf_gene_id	gtf_start	gtf_end	overlap_length	overlap_percent	molecule
LSU-1	Shikha2025	389	423	100.0	35	0	RNA31_F	RNA31	362	426	35	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-1	Shikha2025	389	423	100.0	35	0	RNA31_1	RNA31	388	426	35	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-11	Shikha2025	1634	1811	99.4	178	0	LSUA	LSUA	1634	1810	177	99.43820224719101	molecule2_JEATVDKpUB*
LSU-12	Shikha2025	1476	1538	100.0	63	8	RNA2	RNA2	1487	1538	52	82.53968253968253	molecule2_JEATVDKpUB*
LSU-14	Shikha2025	175	195	100.0	21	5	LSUC	LSUC	175	195	21	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-16	Shikha2025	517	568	100.0	52	16	RNA11_F	RNA11	517	574	52	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-16	Shikha2025	517	568	100.0	52	16	RNA11_1	RNA11	517	556	40	76.92307692307693	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-16	Shikha2025	517	568	100.0	52	16	RNA11_2	RNA11	556	574	13	25.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-17	Shikha2025	1084	1177	100.0	94	0	RNA1	RNA1	1084	1180	94	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-2	Shikha2025	1451	1477	100.0	27	0	RNA35	RNA35	1451	1468	18	66.66666666666666	molecule2_JEATVDKpUB*
LSU-20	Shikha2025	1533	1561	100.0	29	6	RNA10_F	RNA10	1531	1617	29	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-20	Shikha2025	1533	1561	100.0	29	6	RNA10_1	RNA10	1531	1565	29	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-20	Shikha2025	1533	1561	100.0	29	6	RNA10_2	RNA10	1531	1561	29	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-21	Shikha2025	184	274	100.0	91	0	RNA3	RNA3	184	274	91	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-22	Shikha2025	234	515	96.8	282	2	LSUDE	LSUDE	234	515	282	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-23	Shikha2025	1573	1606	100.0	34	13	RNA13	RNA13	1573	1606	34	100.0	molecule2_JEATVDKpUB*
